country departure,country arrival,number of routes
Germany,Saudi Arabia,9
Hong Kong,Saudi Arabia,1
India,Saudi Arabia,36
Indonesia,Saudi Arabia,4
Iran,Saudi Arabia,1
Italy,Saudi Arabia,4
Jordan,Saudi Arabia,10
Kenya,Saudi Arabia,2
Kuwait,Saudi Arabia,12
Lebanon,Saudi Arabia,9
Malaysia,Saudi Arabia,3
Morocco,Saudi Arabia,2
Nepal,Saudi Arabia,1
Netherlands,Saudi Arabia,2
Oman,Saudi Arabia,6
Pakistan,Saudi Arabia,30
Philippines,Saudi Arabia,3
Qatar,Saudi Arabia,8
Saudi Arabia,Saudi Arabia,137
Singapore,Saudi Arabia,1
South Africa,Saudi Arabia,1
Sri Lanka,Saudi Arabia,6
Sudan,Saudi Arabia,9
Switzerland,Saudi Arabia,2
Syria,Saudi Arabia,12
Tunisia,Saudi Arabia,2
Turkey,Saudi Arabia,10
United Arab Emirates,Saudi Arabia,41
United Kingdom,Saudi Arabia,6
United States,Saudi Arabia,4
Yemen,Saudi Arabia,18
Algeria,Senegal,1
Belgium,Senegal,1
Benin,Senegal,1
Burkina Faso,Senegal,1
Cape Verde,Senegal,2
Cote d'Ivoire,Senegal,2
France,Senegal,3
Gambia,Senegal,3
Guinea,Senegal,2
Guinea-Bissau,Senegal,3
Italy,Senegal,1
Liberia,Senegal,1
Mali,Senegal,5
Mauritania,Senegal,2
Morocco,Senegal,1
Nigeria,Senegal,1
Portugal,Senegal,1
Senegal,Senegal,4
South Africa,Senegal,2
Spain,Senegal,3
Togo,Senegal,2
Tunisia,Senegal,1
United Arab Emirates,Senegal,1
United States,Senegal,3
Austria,Serbia,6
Belgium,Serbia,4
Bosnia and Herzegovina,Serbia,1
Croatia,Serbia,1
Cyprus,Serbia,1
Denmark,Serbia,2
France,Serbia,2
Germany,Serbia,23
Greece,Serbia,4
Hungary,Serbia,4
Italy,Serbia,8
Macedonia,Serbia,1
Montenegro,Serbia,5
Netherlands,Serbia,2
Norway,Serbia,1
Poland,Serbia,2
Romania,Serbia,2
Russia,Serbia,2
Slovenia,Serbia,3
Spain,Serbia,1
Sweden,Serbia,6
Switzerland,Serbia,6
Tunisia,Serbia,1
Turkey,Serbia,4
United Arab Emirates,Serbia,1
United Kingdom,Serbia,3
Germany,Seychelles,1
Kenya,Seychelles,1
Mauritius,Seychelles,1
Qatar,Seychelles,1
Reunion,Seychelles,1
Russia,Seychelles,1
Seychelles,Seychelles,2
South Africa,Seychelles,1
United Arab Emirates,Seychelles,2
Gambia,Sierra Leone,6
Ghana,Sierra Leone,1
Guinea,Sierra Leone,1
Guinea-Bissau,Sierra Leone,1
Liberia,Sierra Leone,2
Morocco,Sierra Leone,1
Nigeria,Sierra Leone,1
United Kingdom,Sierra Leone,1
Australia,Singapore,31
Bangladesh,Singapore,2
Brunei,Singapore,2
Burma,Singapore,4
Cambodia,Singapore,5
China,Singapore,37
Denmark,Singapore,2
East Timor,Singapore,1
Finland,Singapore,1
France,Singapore,3
Germany,Singapore,9
Hong Kong,Singapore,10
India,Singapore,32
Indonesia,Singapore,54
Italy,Singapore,3
Japan,Singapore,17
Laos,Singapore,1
Macau,Singapore,3
Malaysia,Singapore,35
Maldives,Singapore,1
Nepal,Singapore,2
Netherlands,Singapore,3
New Zealand,Singapore,3
Papua New Guinea,Singapore,1
Philippines,Singapore,14
Qatar,Singapore,1
Russia,Singapore,2
Saudi Arabia,Singapore,1
South Africa,Singapore,2
South Korea,Singapore,6
Spain,Singapore,2
Sri Lanka,Singapore,4
Switzerland,Singapore,2
Taiwan,Singapore,8
Thailand,Singapore,24
Turkey,Singapore,2
United Arab Emirates,Singapore,7
United Kingdom,Singapore,5
United States,Singapore,4
Vietnam,Singapore,12
Austria,Slovakia,1
Belgium,Slovakia,1
Czech Republic,Slovakia,3
France,Slovakia,1
Ireland,Slovakia,1
Italy,Slovakia,2
Poland,Slovakia,2
Slovakia,Slovakia,2
Spain,Slovakia,1
United Kingdom,Slovakia,6
Albania,Slovenia,1
Austria,Slovenia,2
Belgium,Slovenia,2
Bosnia and Herzegovina,Slovenia,1
Czech Republic,Slovenia,1
Denmark,Slovenia,2
France,Slovenia,3
Germany,Slovenia,4
Macedonia,Slovenia,1
Montenegro,Slovenia,2
Netherlands,Slovenia,1
Russia,Slovenia,2
Serbia,Slovenia,3
Switzerland,Slovenia,2
Turkey,Slovenia,2
United Kingdom,Slovenia,1
Australia,Solomon Islands,3
Fiji,Solomon Islands,2
Papua New Guinea,Solomon Islands,1
Solomon Islands,Solomon Islands,54
Vanuatu,Solomon Islands,3
Djibouti,Somalia,2
Kenya,Somalia,2
Somalia,Somalia,15
United Arab Emirates,Somalia,2
Yemen,Somalia,4
Angola,South Africa,3
Argentina,South Africa,2
Australia,South Africa,4
Botswana,South Africa,5
Brazil,South Africa,1
Congo (Kinshasa),South Africa,3
Egypt,South Africa,2
Ethiopia,South Africa,3
France,South Africa,3
Gabon,South Africa,1
Germany,South Africa,6
Ghana,South Africa,1
Hong Kong,South Africa,2
India,South Africa,3
Israel,South Africa,1
Kenya,South Africa,2
Lesotho,South Africa,1
Madagascar,South Africa,3
Malawi,South Africa,2
Malaysia,South Africa,3
Mauritius,South Africa,7
Mozambique,South Africa,15
Namibia,South Africa,8
Netherlands,South Africa,3
Nigeria,South Africa,2
Qatar,South Africa,1
Reunion,South Africa,2
Rwanda,South Africa,1
Saudi Arabia,South Africa,1
Senegal,South Africa,2
Seychelles,South Africa,1
Singapore,South Africa,2
South Africa,South Africa,142
Spain,South Africa,1
Swaziland,South Africa,1
Switzerland,South Africa,3
Tanzania,South Africa,3
Thailand,South Africa,2
Turkey,South Africa,1
Uganda,South Africa,1
United Arab Emirates,South Africa,10
United Kingdom,South Africa,8
United States,South Africa,3
Zambia,South Africa,6
Zimbabwe,South Africa,6
Australia,South Korea,6
Cambodia,South Korea,5
Canada,South Korea,4
China,South Korea,120
Czech Republic,South Korea,2
Fiji,South Korea,1
Finland,South Korea,1
France,South Korea,3
Germany,South Korea,3
Guam,South Korea,3
Hong Kong,South Korea,11
India,South Korea,2
Indonesia,South Korea,4
Israel,South Korea,1
Italy,South Korea,2
Japan,South Korea,103
Kazakhstan,South Korea,2
Macau,South Korea,4
Malaysia,South Korea,6
Mongolia,South Korea,2
Nepal,South Korea,1
Netherlands,South Korea,2
New Caledonia,South Korea,2
New Zealand,South Korea,1
Northern Mariana Islands,South Korea,3
Palau,South Korea,2
Philippines,South Korea,25
Qatar,South Korea,2
Russia,South Korea,10
Singapore,South Korea,6
South Korea,South Korea,92
Switzerland,South Korea,1
Taiwan,South Korea,11
Thailand,South Korea,21
Turkey,South Korea,3
United Arab Emirates,South Korea,4
United Kingdom,South Korea,2
United States,South Korea,40
Uzbekistan,South Korea,3
Vietnam,South Korea,13
Egypt,South Sudan,1
Ethiopia,South Sudan,2
Kenya,South Sudan,5
Sudan,South Sudan,5
Uganda,South Sudan,1
Algeria,Spain,10
Angola,Spain,2
Argentina,Spain,5
Austria,Spain,24
Belgium,Spain,28
Bolivia,Spain,1
Brazil,Spain,9
Bulgaria,Spain,7
Cape Verde,Spain,4
Chile,Spain,2
China,Spain,1
Colombia,Spain,5
Costa Rica,Spain,1
Cuba,Spain,3
Cyprus,Spain,1
Czech Republic,Spain,9
Denmark,Spain,21
Dominican Republic,Spain,8
Ecuador,Spain,2
Egypt,Spain,5
El Salvador,Spain,2
Equatorial Guinea,Spain,2
Estonia,Spain,1
Finland,Spain,14
France,Spain,83
Gambia,Spain,1
Germany,Spain,232
Greece,Spain,7
Hungary,Spain,4
Ireland,Spain,34
Israel,Spain,5
Italy,Spain,103
Jordan,Spain,4
Latvia,Spain,1
Lithuania,Spain,2
Luxembourg,Spain,6
Mali,Spain,1
Malta,Spain,2
Mexico,Spain,10
Moldova,Spain,1
Morocco,Spain,27
Netherlands,Spain,37
Nigeria,Spain,1
Norway,Spain,20
Pakistan,Spain,3
Panama,Spain,1
Peru,Spain,3
Poland,Spain,13
Portugal,Spain,43
Qatar,Spain,2
Romania,Spain,18
Russia,Spain,17
Senegal,Spain,3
Serbia,Spain,1
Singapore,Spain,2
Slovakia,Spain,1
South Africa,Spain,1
South Korea,Spain,1
Spain,Spain,631
Sweden,Spain,17
Switzerland,Spain,39
Syria,Spain,1
Thailand,Spain,2
Tunisia,Spain,2
Turkey,Spain,7
Ukraine,Spain,8
United Arab Emirates,Spain,1
United Kingdom,Spain,289
United States,Spain,49
Uruguay,Spain,2
Uzbekistan,Spain,1
Venezuela,Spain,5
Bahrain,Sri Lanka,2
Bangladesh,Sri Lanka,2
China,Sri Lanka,1
France,Sri Lanka,1
Germany,Sri Lanka,1
India,Sri Lanka,18
Indonesia,Sri Lanka,2
Italy,Sri Lanka,1
Japan,Sri Lanka,1
Jordan,Sri Lanka,1
Kuwait,Sri Lanka,2
Malaysia,Sri Lanka,3
Maldives,Sri Lanka,5
Oman,Sri Lanka,2
Pakistan,Sri Lanka,2
Qatar,Sri Lanka,2
Russia,Sri Lanka,1
Saudi Arabia,Sri Lanka,6
Singapore,Sri Lanka,4
Sri Lanka,Sri Lanka,8
Switzerland,Sri Lanka,2
Thailand,Sri Lanka,3
Ukraine,Sri Lanka,1
United Arab Emirates,Sri Lanka,9
United Kingdom,Sri Lanka,1
Bahrain,Sudan,2
Chad,Sudan,1
Egypt,Sudan,5
Eritrea,Sudan,2
Ethiopia,Sudan,6
Jordan,Sudan,1
Kenya,Sudan,1
Lebanon,Sudan,1
Netherlands,Sudan,3
Nigeria,Sudan,1
Qatar,Sudan,2
Saudi Arabia,Sudan,9
South Sudan,Sudan,5
Sudan,Sudan,24
Syria,Sudan,2
Turkey,Sudan,1
United Arab Emirates,Sudan,9
Yemen,Sudan,1
Aruba,Suriname,1
Netherlands,Suriname,2
Netherlands Antilles,Suriname,1
Trinidad and Tobago,Suriname,2
South Africa,Swaziland,1
Austria,Sweden,8
Belarus,Sweden,1
Belgium,Sweden,7
China,Sweden,2
Czech Republic,Sweden,4
Denmark,Sweden,11
Estonia,Sweden,5
Finland,Sweden,21
France,Sweden,11
Germany,Sweden,30
Hungary,Sweden,6
Iceland,Sweden,1
Iran,Sweden,2
Ireland,Sweden,2
Italy,Sweden,9
Latvia,Sweden,4
Lithuania,Sweden,5
Malta,Sweden,1
Morocco,Sweden,2
Netherlands,Sweden,6
Norway,Sweden,13
Poland,Sweden,12
Portugal,Sweden,2
Qatar,Sweden,1
Russia,Sweden,4
Serbia,Sweden,6
Spain,Sweden,17
Sweden,Sweden,163
Switzerland,Sweden,7
Syria,Sweden,1
Thailand,Sweden,1
Turkey,Sweden,3
Ukraine,Sweden,1
United Arab Emirates,Sweden,1
United Kingdom,Sweden,28
United States,Sweden,5
Algeria,Switzerland,1
Austria,Switzerland,13
Bahrain,Switzerland,1
Belgium,Switzerland,6
Bosnia and Herzegovina,Switzerland,1
Brazil,Switzerland,1
Bulgaria,Switzerland,1
Cameroon,Switzerland,3
Canada,Switzerland,9
China,Switzerland,2
Croatia,Switzerland,2
Cyprus,Switzerland,1
Czech Republic,Switzerland,3
Denmark,Switzerland,8
Dominican Republic,Switzerland,1
Egypt,Switzerland,11
Finland,Switzerland,7
France,Switzerland,16
Germany,Switzerland,48
Greece,Switzerland,3
Guernsey,Switzerland,2
Hong Kong,Switzerland,1
Hungary,Switzerland,4
India,Switzerland,4
Ireland,Switzerland,4
Isle of Man,Switzerland,1
Israel,Switzerland,4
Italy,Switzerland,18
Japan,Switzerland,2
Jersey,Switzerland,3
Jordan,Switzerland,2
Kenya,Switzerland,3
Latvia,Switzerland,1
Lebanon,Switzerland,1
Luxembourg,Switzerland,2
Macedonia,Switzerland,2
Maldives,Switzerland,2
Malta,Switzerland,2
Mauritius,Switzerland,2
Mexico,Switzerland,1
Montenegro,Switzerland,1
Morocco,Switzerland,2
Netherlands,Switzerland,7
Norway,Switzerland,3
Oman,Switzerland,1
Poland,Switzerland,4
Portugal,Switzerland,9
Qatar,Switzerland,2
Romania,Switzerland,1
Russia,Switzerland,7
Saudi Arabia,Switzerland,2
Serbia,Switzerland,6
Singapore,Switzerland,2
Slovenia,Switzerland,2
South Africa,Switzerland,3
Spain,Switzerland,38
Sri Lanka,Switzerland,2
Sweden,Switzerland,7
Switzerland,Switzerland,8
Thailand,Switzerland,3
Tunisia,Switzerland,4
Turkey,Switzerland,12
Ukraine,Switzerland,3
United Arab Emirates,Switzerland,7
United Kingdom,Switzerland,60
United States,Switzerland,29
Algeria,Syria,3
Armenia,Syria,1
Austria,Syria,1
Bahrain,Syria,2
Cyprus,Syria,3
Egypt,Syria,5
France,Syria,2
Germany,Syria,1
Greece,Syria,2
Hungary,Syria,2
Iran,Syria,8
Italy,Syria,1
Jordan,Syria,7
Kuwait,Syria,5
Lebanon,Syria,1
Netherlands,Syria,2
Qatar,Syria,4
Romania,Syria,2
Russia,Syria,3
Saudi Arabia,Syria,12
Spain,Syria,1
Sudan,Syria,1
Sweden,Syria,2
Syria,Syria,8
Tunisia,Syria,2
Turkey,Syria,4
United Arab Emirates,Syria,10
United Kingdom,Syria,3
Venezuela,Syria,1
Yemen,Syria,2
Australia,Taiwan,4
Austria,Taiwan,1
Burma,Taiwan,1
Cambodia,Taiwan,2
Canada,Taiwan,3
China,Taiwan,165
France,Taiwan,1
Germany,Taiwan,1
Guam,Taiwan,2
Hong Kong,Taiwan,10
India,Taiwan,2
Indonesia,Taiwan,7
Japan,Taiwan,42
Macau,Taiwan,6
Malaysia,Taiwan,8
Palau,Taiwan,1
Philippines,Taiwan,7
Singapore,Taiwan,8
South Korea,Taiwan,11
Taiwan,Taiwan,52
Thailand,Taiwan,8
United Kingdom,Taiwan,1
United States,Taiwan,17
Vietnam,Taiwan,15
Afghanistan,Tajikistan,2
China,Tajikistan,4
Germany,Tajikistan,1
India,Tajikistan,1
Iran,Tajikistan,3
Kazakhstan,Tajikistan,4
Kyrgyzstan,Tajikistan,3
Russia,Tajikistan,62
Tajikistan,Tajikistan,4
Turkey,Tajikistan,2
United Arab Emirates,Tajikistan,2
Comoros,Tanzania,1
Egypt,Tanzania,1
Ethiopia,Tanzania,8
Germany,Tanzania,1
Italy,Tanzania,3
Kenya,Tanzania,23
Malawi,Tanzania,1
Mozambique,Tanzania,1
Netherlands,Tanzania,1
Oman,Tanzania,2
Qatar,Tanzania,1
Rwanda,Tanzania,2
South Africa,Tanzania,3
Switzerland,Tanzania,1
Tanzania,Tanzania,41
Turkey,Tanzania,1
Uganda,Tanzania,2
United Arab Emirates,Tanzania,1
United Kingdom,Tanzania,1
Australia,Thailand,20
Austria,Thailand,3
Bahrain,Thailand,2
Bangladesh,Thailand,6
Belgium,Thailand,1
Brunei,Thailand,2
Burma,Thailand,6
Cambodia,Thailand,5
China,Thailand,42
Denmark,Thailand,3
Egypt,Thailand,3
Ethiopia,Thailand,2
Finland,Thailand,1
France,Thailand,4
Germany,Thailand,9
Hong Kong,Thailand,20
India,Thailand,24
Indonesia,Thailand,9
Iran,Thailand,2
Israel,Thailand,2
Italy,Thailand,2
Japan,Thailand,17
Jordan,Thailand,2
Kazakhstan,Thailand,1
Kenya,Thailand,1
Korea,Thailand,1
Kuwait,Thailand,1
Laos,Thailand,7
Macau,Thailand,2
Madagascar,Thailand,2
Malaysia,Thailand,24
Maldives,Thailand,1
Nepal,Thailand,2
Netherlands,Thailand,3
New Zealand,Thailand,2
Norway,Thailand,1
Oman,Thailand,1
Pakistan,Thailand,7
Philippines,Thailand,6
Qatar,Thailand,1
Reunion,Thailand,1
Russia,Thailand,18
Singapore,Thailand,24
South Africa,Thailand,2
South Korea,Thailand,21
Spain,Thailand,2
Sri Lanka,Thailand,3
Sweden,Thailand,1
Switzerland,Thailand,3
Taiwan,Thailand,8
Thailand,Thailand,143
Turkey,Thailand,2
Ukraine,Thailand,2
United Arab Emirates,Thailand,6
United Kingdom,Thailand,5
United States,Thailand,1
Uzbekistan,Thailand,1
Vietnam,Thailand,12
Benin,Togo,2
Burkina Faso,Togo,2
Cote d'Ivoire,Togo,7
Ethiopia,Togo,2
France,Togo,1
Gabon,Togo,1
Ghana,Togo,6
Mali,Togo,3
Morocco,Togo,1
Nigeria,Togo,2
Senegal,Togo,2
Australia,Tonga,1
Fiji,Tonga,2
New Zealand,Tonga,2
Antigua and Barbuda,Trinidad and Tobago,1
Barbados,Trinidad and Tobago,3
Canada,Trinidad and Tobago,1
Germany,Trinidad and Tobago,1
Grenada,Trinidad and Tobago,4
Guyana,Trinidad and Tobago,1
Jamaica,Trinidad and Tobago,1
Netherlands Antilles,Trinidad and Tobago,3
Panama,Trinidad and Tobago,1
Saint Lucia,Trinidad and Tobago,2
Saint Vincent and the Grenadines,Trinidad and Tobago,1
Suriname,Trinidad and Tobago,2
Trinidad and Tobago,Trinidad and Tobago,2
United Kingdom,Trinidad and Tobago,1
United States,Trinidad and Tobago,7
Venezuela,Trinidad and Tobago,2
Algeria,Tunisia,2
Austria,Tunisia,1
Belgium,Tunisia,2
Cote d'Ivoire,Tunisia,1
Egypt,Tunisia,2
France,Tunisia,31
Germany,Tunisia,17
Greece,Tunisia,1
Italy,Tunisia,8
Jordan,Tunisia,1
Kuwait,Tunisia,1
Lebanon,Tunisia,2
Libya,Tunisia,4
Luxembourg,Tunisia,1
Mali,Tunisia,1
Malta,Tunisia,1
Mauritania,Tunisia,1
Morocco,Tunisia,3
Netherlands,Tunisia,1
Portugal,Tunisia,1
Qatar,Tunisia,1
Russia,Tunisia,1
Saudi Arabia,Tunisia,2
Senegal,Tunisia,1
Serbia,Tunisia,1
Spain,Tunisia,2
Switzerland,Tunisia,4
Syria,Tunisia,2
Tunisia,Tunisia,19
Turkey,Tunisia,2
United Arab Emirates,Tunisia,2
United Kingdom,Tunisia,8
Afghanistan,Turkey,3
Albania,Turkey,1
Algeria,Turkey,2
Austria,Turkey,10
Azerbaijan,Turkey,4
Bahrain,Turkey,2
Belarus,Turkey,2
Belgium,Turkey,3
Bosnia and Herzegovina,Turkey,2
Brazil,Turkey,1
Bulgaria,Turkey,1
Canada,Turkey,1
China,Turkey,7
Croatia,Turkey,2
Cyprus,Turkey,14
Czech Republic,Turkey,1
Denmark,Turkey,2
Egypt,Turkey,4
Ethiopia,Turkey,2
Finland,Turkey,1
France,Turkey,9
Georgia,Turkey,4
Germany,Turkey,70
Ghana,Turkey,1
Greece,Turkey,6
Hong Kong,Turkey,1
Hungary,Turkey,2
India,Turkey,4
Iran,Turkey,16
Iraq,Turkey,8
Ireland,Turkey,1
Israel,Turkey,1
Italy,Turkey,12
Japan,Turkey,4
Jordan,Turkey,2
Kazakhstan,Turkey,6
Kenya,Turkey,2
Kuwait,Turkey,1
Kyrgyzstan,Turkey,2
Latvia,Turkey,2
Lebanon,Turkey,3
Libya,Turkey,3
Macedonia,Turkey,3
Malaysia,Turkey,2
Malta,Turkey,2
Moldova,Turkey,4
Montenegro,Turkey,1
Morocco,Turkey,3
Netherlands,Turkey,5
Nigeria,Turkey,1
Norway,Turkey,3
Oman,Turkey,1
Pakistan,Turkey,4
Poland,Turkey,2
Portugal,Turkey,2
Qatar,Turkey,3
Romania,Turkey,3
Russia,Turkey,17
Saudi Arabia,Turkey,10
Senegal,Turkey,1
Serbia,Turkey,4
Singapore,Turkey,2
Slovenia,Turkey,2
South Africa,Turkey,1
South Korea,Turkey,3
Spain,Turkey,7
Sudan,Turkey,1
Sweden,Turkey,3
Switzerland,Turkey,12
Syria,Turkey,4
Tajikistan,Turkey,2
Tanzania,Turkey,1
Thailand,Turkey,2
Tunisia,Turkey,2
Turkey,Turkey,200
Turkmenistan,Turkey,2
Uganda,Turkey,1
Ukraine,Turkey,14
United Arab Emirates,Turkey,7
United Kingdom,Turkey,12
United States,Turkey,7
Uzbekistan,Turkey,2
Azerbaijan,Turkmenistan,3
Belarus,Turkmenistan,1
China,Turkmenistan,1
Germany,Turkmenistan,1
India,Turkmenistan,2
Russia,Turkmenistan,2
Turkey,Turkmenistan,2
United Arab Emirates,Turkmenistan,2
United Kingdom,Turkmenistan,2
Uzbekistan,Turkmenistan,1
Bahamas,Turks and Caicos Islands,3
Canada,Turks and Caicos Islands,4
Dominican Republic,Turks and Caicos Islands,2
Haiti,Turks and Caicos Islands,2
Jamaica,Turks and Caicos Islands,1
Turks and Caicos Islands,Turks and Caicos Islands,6
United States,Turks and Caicos Islands,11
Fiji,Tuvalu,1
Bahrain,Uganda,1
Egypt,Uganda,1
Ethiopia,Uganda,6
Kenya,Uganda,4
Qatar,Uganda,1
Rwanda,Uganda,14
South Africa,Uganda,1
South Sudan,Uganda,1
Tanzania,Uganda,2
Turkey,Uganda,1
Uganda,Uganda,2
United Kingdom,Uganda,1
Armenia,Ukraine,2
Austria,Ukraine,12
Azerbaijan,Ukraine,3
Belarus,Ukraine,2
Belgium,Ukraine,2
Bulgaria,Ukraine,2
Canada,Ukraine,1
China,Ukraine,2
Cyprus,Ukraine,1
Czech Republic,Ukraine,6
Denmark,Ukraine,3
Estonia,Ukraine,2
Finland,Ukraine,2
France,Ukraine,2
Georgia,Ukraine,6
Germany,Ukraine,13
Greece,Ukraine,1
Hungary,Ukraine,4
India,Ukraine,2
Iran,Ukraine,1
Israel,Ukraine,7
Italy,Ukraine,8
Jordan,Ukraine,2
Kazakhstan,Ukraine,5
Latvia,Ukraine,2
Lebanon,Ukraine,1
Lithuania,Ukraine,1
Moldova,Ukraine,2
Netherlands,Ukraine,2
Poland,Ukraine,8
Portugal,Ukraine,2
Romania,Ukraine,3
Russia,Ukraine,40
Spain,Ukraine,6
Sri Lanka,Ukraine,1
Sweden,Ukraine,1
Switzerland,Ukraine,3
Thailand,Ukraine,2
Turkey,Ukraine,14
Ukraine,Ukraine,46
United Arab Emirates,Ukraine,12
United Kingdom,Ukraine,5
United States,Ukraine,1
Uzbekistan,Ukraine,3
Vietnam,Ukraine,1
Afghanistan,United Arab Emirates,7
Algeria,United Arab Emirates,1
Angola,United Arab Emirates,2
Armenia,United Arab Emirates,2
Australia,United Arab Emirates,10
Austria,United Arab Emirates,2
Azerbaijan,United Arab Emirates,2
Bahrain,United Arab Emirates,11
Bangladesh,United Arab Emirates,14
Belarus,United Arab Emirates,1
Belgium,United Arab Emirates,4
Brazil,United Arab Emirates,2
Brunei,United Arab Emirates,1
Canada,United Arab Emirates,2
China,United Arab Emirates,13
Cyprus,United Arab Emirates,4
Czech Republic,United Arab Emirates,4
Denmark,United Arab Emirates,2
Djibouti,United Arab Emirates,2
Egypt,United Arab Emirates,14
Ethiopia,United Arab Emirates,3
Finland,United Arab Emirates,2
France,United Arab Emirates,6
Georgia,United Arab Emirates,2
Germany,United Arab Emirates,18
Ghana,United Arab Emirates,1
Greece,United Arab Emirates,4
Hong Kong,United Arab Emirates,3
India,United Arab Emirates,66
Indonesia,United Arab Emirates,3
Iran,United Arab Emirates,22
Iraq,United Arab Emirates,7
Ireland,United Arab Emirates,2
Italy,United Arab Emirates,5
Japan,United Arab Emirates,6
Jordan,United Arab Emirates,10
Kazakhstan,United Arab Emirates,5
Kenya,United Arab Emirates,5
Kuwait,United Arab Emirates,10
Kyrgyzstan,United Arab Emirates,2
Latvia,United Arab Emirates,1
Lebanon,United Arab Emirates,6
Malaysia,United Arab Emirates,5
Maldives,United Arab Emirates,2
Mauritius,United Arab Emirates,2
Morocco,United Arab Emirates,3
Nepal,United Arab Emirates,5
Netherlands,United Arab Emirates,10
Nigeria,United Arab Emirates,1
Norway,United Arab Emirates,1
Oman,United Arab Emirates,20
Pakistan,United Arab Emirates,40
Philippines,United Arab Emirates,4
Qatar,United Arab Emirates,8
Romania,United Arab Emirates,1
Russia,United Arab Emirates,19
Rwanda,United Arab Emirates,1
Saudi Arabia,United Arab Emirates,40
Senegal,United Arab Emirates,1
Serbia,United Arab Emirates,1
Seychelles,United Arab Emirates,2
Singapore,United Arab Emirates,7
South Africa,United Arab Emirates,9
South Korea,United Arab Emirates,4
Spain,United Arab Emirates,1
Sri Lanka,United Arab Emirates,9
Sudan,United Arab Emirates,7
Sweden,United Arab Emirates,1
Switzerland,United Arab Emirates,7
Syria,United Arab Emirates,11
Tajikistan,United Arab Emirates,2
Tanzania,United Arab Emirates,1
Thailand,United Arab Emirates,6
Tunisia,United Arab Emirates,2
Turkey,United Arab Emirates,7
Turkmenistan,United Arab Emirates,2
Ukraine,United Arab Emirates,12
United Kingdom,United Arab Emirates,20
United States,United Arab Emirates,13
Uzbekistan,United Arab Emirates,2
Yemen,United Arab Emirates,11
Albania,United Kingdom,2
Algeria,United Kingdom,2
Angola,United Kingdom,2
Antigua and Barbuda,United Kingdom,2
Argentina,United Kingdom,1
Armenia,United Kingdom,3
Austria,United Kingdom,29
Azerbaijan,United Kingdom,3
Bahamas,United Kingdom,1
Bahrain,United Kingdom,5
Bangladesh,United Kingdom,1
Barbados,United Kingdom,6
Belarus,United Kingdom,1
Belgium,United Kingdom,25
Bermuda,United Kingdom,1
Brazil,United Kingdom,6
Bulgaria,United Kingdom,9
Canada,United Kingdom,44
Cape Verde,United Kingdom,8
China,United Kingdom,7
Croatia,United Kingdom,6
Cuba,United Kingdom,4
Cyprus,United Kingdom,20
Czech Republic,United Kingdom,11
Denmark,United Kingdom,25
Dominican Republic,United Kingdom,3
Egypt,United Kingdom,45
Estonia,United Kingdom,4
Ethiopia,United Kingdom,2
Finland,United Kingdom,6
France,United Kingdom,122
Gambia,United Kingdom,3
Germany,United Kingdom,119
Ghana,United Kingdom,2
Gibraltar,United Kingdom,5
Greece,United Kingdom,10
Guernsey,United Kingdom,13
Hong Kong,United Kingdom,5
Hungary,United Kingdom,8
Iceland,United Kingdom,4
India,United Kingdom,17
Iran,United Kingdom,1
Ireland,United Kingdom,59
Isle of Man,United Kingdom,17
Israel,United Kingdom,5
Italy,United Kingdom,75
Jamaica,United Kingdom,6
Japan,United Kingdom,5
Jersey,United Kingdom,13
Jordan,United Kingdom,4
Kazakhstan,United Kingdom,2
Kenya,United Kingdom,4
Kuwait,United Kingdom,2
Latvia,United Kingdom,8
Lebanon,United Kingdom,3
Lithuania,United Kingdom,11
Luxembourg,United Kingdom,3
Macedonia,United Kingdom,1
Malaysia,United Kingdom,3
Maldives,United Kingdom,4
Malta,United Kingdom,18
Mauritius,United Kingdom,2
Mexico,United Kingdom,5
Morocco,United Kingdom,13
Netherlands,United Kingdom,49
Nigeria,United Kingdom,5
Norway,United Kingdom,36
Oman,United Kingdom,2
Pakistan,United Kingdom,7
Poland,United Kingdom,62
Portugal,United Kingdom,42
Qatar,United Kingdom,4
Romania,United Kingdom,7
Russia,United Kingdom,8
Saint Lucia,United Kingdom,2
Saudi Arabia,United Kingdom,6
Serbia,United Kingdom,3
Sierra Leone,United Kingdom,1
Singapore,United Kingdom,5
Slovakia,United Kingdom,6
Slovenia,United Kingdom,1
South Africa,United Kingdom,8
South Korea,United Kingdom,2
Spain,United Kingdom,290
Sri Lanka,United Kingdom,1
Sweden,United Kingdom,28
Switzerland,United Kingdom,60
Syria,United Kingdom,3
Taiwan,United Kingdom,1
Tanzania,United Kingdom,1
Thailand,United Kingdom,5
Trinidad and Tobago,United Kingdom,1
Tunisia,United Kingdom,8
Turkey,United Kingdom,12
Turkmenistan,United Kingdom,2
Uganda,United Kingdom,1
Ukraine,United Kingdom,5
United Arab Emirates,United Kingdom,20
United Kingdom,United Kingdom,352
United States,United Kingdom,161
Uzbekistan,United Kingdom,1
Vietnam,United Kingdom,2
Zambia,United Kingdom,1
Zimbabwe,United Kingdom,1
American Samoa,United States,1
Antigua and Barbuda,United States,7
Argentina,United States,13
Aruba,United States,21
Australia,United States,30
Austria,United States,5
Azerbaijan,United States,1
Bahamas,United States,71
Barbados,United States,5
Belgium,United States,22
Belize,United States,9
Bermuda,United States,8
